"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/1996","108.90","105.86","111.63","105.86","","4.00%"
"03/01/1996","104.72","97.67","105.86","97.22","","6.45%"
"02/01/1996","98.38","94.55","99.09","93.33","","3.98%"
"01/01/1996","94.61","94.14","95.27","90.43","","1.71%"
"12/01/1995","93.03","88.35","93.60","88.35","","6.11%"
"11/01/1995","87.67","86.43","88.36","86.43","","2.07%"
"10/01/1995","85.89","85.02","85.89","83.67","","1.51%"
"09/01/1995","84.62","85.49","86.28","84.42","","-0.31%"
"08/01/1995","84.88","81.97","85.30","81.97","","3.04%"
"07/01/1995","82.38","81.14","82.43","80.24","","1.76%"
"06/01/1995","80.96","83.75","83.83","80.96","","-2.64%"
"05/01/1995","83.15","84.28","84.52","81.97","","-0.93%"
"04/01/1995","83.93","81.87","84.54","81.87","","2.65%"
"03/01/1995","81.77","80.05","81.77","79.92","","2.14%"
"02/01/1995","80.06","78.73","80.47","78.06","","1.71%"
"01/01/1995","78.71","78.20","80.17","77.61","","-0.29%"
"12/01/1994","78.94","76.59","78.94","75.33","","2.70%"
"11/01/1994","76.86","77.93","78.16","76.58","","-0.33%"
"10/01/1994","77.11","76.02","77.67","74.21","","1.36%"
"09/01/1994","76.08","75.96","76.84","74.90","","0.18%"
"08/01/1994","75.94","79.82","79.82","74.33","","-4.47%"
"07/01/1994","79.49","77.72","79.49","76.07","","2.93%"
"06/01/1994","77.23","73.73","78.25","72.76","","3.83%"
"05/01/1994","74.38","69.68","74.86","69.42","","7.10%"
"04/01/1994","69.45","68.05","69.45","67.41","","3.70%"
"03/01/1994","66.97","66.68","68.05","65.85","","0.66%"
"02/01/1994","66.54","67.93","68.23","65.74","","-0.16%"
